drug_name,Name,receptor,Actions,Gene Name,Pharmacological action,potency,family,symbol,show_text,Ki,Ki_min,Ki_max,Kind,weight,comment
Desipramine,Dopamine D2 receptor,Dopamine D2 ,Binder,DRD2,Unknown,NA,DRD,⬬,"Dopamine receptor whose activity is mediated by G proteins
which inhibit adenylyl cyclase.",NA,NA,NA,Protein,50618.91 Da,NA
Desvenlafaxine,Sodium-dependent noradrenaline transporter,Sodium-dependent noradrenaline transporter,Inhibitor,SLC6A2,Yes,6.529810093714447,SLC,⮽,"Amine transporter. Terminates the action of noradrenaline by
its high affinity sodium-dependent reuptake into presynaptic
terminals.",2952.5,2753,3152,Protein,69331.42 Da,NA
Desvenlafaxine,Sodium-dependent serotonin transporter,Sodium-dependent serotonin transporter,Inhibitor,SLC6A4,Yes,8.212185432936977,SLC,⮽,"Serotonin transporter whose primary function in the central
nervous system involves the regulation of serotonergic
signaling via transport of serotonin molecules from the
synaptic cleft back into the pre-synaptic terminal for re-
utilization. Plays a key role in mediating regulation of the
availability of serotonin to other receptors of serotonergic
systems. Terminates the action of serotonin and recycles it
in a sodium-dependent manner.",61.35,7.7,115,Protein,70324.165 Da,NA
Desvenlafaxine,Sodium-dependent dopamine transporter,Sodium-dependent dopamine transporter,Inhibitor,SLC6A3,Unknown,NA,SLC,⮽,"Amine transporter. Terminates the action of dopamine by its
high affinity sodium-dependent reuptake into presynaptic
terminals.",NA,NA,NA,Protein,68494.255 Da,NA
Dextroamphetamine,Synaptic vesicular amine transporter,Synaptic vesicular amine transporter,Inducer,SLC18A2,Yes,NA,SLC,◆,"Involved in the ATP-dependent vesicular transport of
biogenic amine neurotransmitters. Pumps cytosolic monoamines
including dopamine, norepinephrine, serotonin, and histamine
into synaptic vesicles. Requisite for vesicular amine
storage prior to secretion via exocytosis.",NA,NA,NA,Protein,55712.075 Da,NA
Dextroamphetamine,Sodium-dependent noradrenaline transporter,Sodium-dependent noradrenaline transporter,Negative modulator,SLC6A2,Yes,NA,SLC,⮋,"Amine transporter. Terminates the action of noradrenaline by
its high affinity sodium-dependent reuptake into presynaptic
terminals.",NA,NA,NA,Protein,69331.42 Da,NA
Dextroamphetamine,Sodium-dependent dopamine transporter,Sodium-dependent dopamine transporter,Negative modulator,SLC6A3,Yes,NA,SLC,⮋,"Amine transporter. Terminates the action of dopamine by its
high affinity sodium-dependent reuptake into presynaptic
terminals.",NA,NA,NA,Protein,68494.255 Da,NA
Dextroamphetamine,Trace amine-associated receptor 1,Trace amine-associated  1,Agonist,TAAR1,Unknown,NA,TAAR,⯅,"Receptor for trace amines, including beta-phenylethylamine
(b-PEA), p-tyramine (p-TYR), octopamine and tryptamine,
with highest affinity for b-PEA and p-TYR. Unresponsive to
classical biogenic amines, such as epinephrine and histamine
and only partially activated by dopamine and serotonine.
Trace amines are biogenic amines present in very low levels
in mammalian tissues. Although some trace amines have
clearly defined roles as neurotransmitters in invertebrates,
the extent to which they function as true neurotransmitters
in vertebrates has remained speculative. Trace amines
are likely to be involved in a variety of physiological
functions that have yet to be fully understood. The signal
transduced by this receptor is mediated by the G(s)-class of
G-proteins which activate adenylate cyclase.",NA,NA,NA,Protein,39091.34 Da,NA
Dextroamphetamine,Alpha-1B adrenergic receptor,Alpha-1B adrenergic ,Antagonist,ADRA1B,Unknown,NA,ADRA,⯆,"This alpha-adrenergic receptor mediates its action
by association with G proteins that activate a
phosphatidylinositol-calcium second messenger system. Its
effect is mediated by G(q) and G(11) proteins. Nuclear
ADRA1A-ADRA1B heterooligomers regulate phenylephrine (PE)-
stimulated ERK signaling in cardiac myocytes.",NA,NA,NA,Protein,56835.375 Da,NA
Duloxetine,Sodium-dependent serotonin transporter,Sodium-dependent serotonin transporter,Inhibitor,SLC6A4,Yes,9.337242168318426,SLC,⮽,"Serotonin transporter whose primary function in the central
nervous system involves the regulation of serotonergic
signaling via transport of serotonin molecules from the
synaptic cleft back into the pre-synaptic terminal for re-
utilization. Plays a key role in mediating regulation of the
availability of serotonin to other receptors of serotonergic
systems. Terminates the action of serotonin and recycles it
in a sodium-dependent manner.",4.6,0.501,790,Protein,70324.165 Da,NA
Duloxetine,Sodium-dependent noradrenaline transporter,Sodium-dependent noradrenaline transporter,Inhibitor,SLC6A2,Yes,8.921905849593589,SLC,⮽,"Amine transporter. Terminates the action of noradrenaline by
its high affinity sodium-dependent reuptake into presynaptic
terminals.",11.97,5.97,7450,Protein,69331.42 Da,NA
Duloxetine,Sodium-dependent dopamine transporter,Sodium-dependent dopamine transporter,Inhibitor,SLC6A3,Unknown,7.431798275933005,SLC,⮽,"Amine transporter. Terminates the action of dopamine by its
high affinity sodium-dependent reuptake into presynaptic
terminals.",370,240,240000,Protein,68494.255 Da,NA
Escitalopram,Sodium-dependent serotonin transporter,Sodium-dependent serotonin transporter,Inhibitor,SLC6A4,Yes,10,SLC,⮽,"Serotonin transporter whose primary function in the central
nervous system involves the regulation of serotonergic
signaling via transport of serotonin molecules from the
synaptic cleft back into the pre-synaptic terminal for re-
utilization. Plays a key role in mediating regulation of the
availability of serotonin to other receptors of serotonergic
systems. Terminates the action of serotonin and recycles it
in a sodium-dependent manner.",1,1,1,Protein,70324.165 Da,NA
Escitalopram,Muscarinic acetylcholine receptor M1,Muscarinic acetylcholine  M1,Inhibitor,CHRM1,Unknown,NA,CHRM,⮽,"The muscarinic acetylcholine receptor mediates various
cellular responses, including inhibition of adenylate
cyclase, breakdown of phosphoinositides and modulation of
potassium channels through the action of G proteins. Primary
transducing effect is Pi turnover.",NA,NA,NA,Protein,51420.375 Da,NA
Escitalopram,Histamine H1 receptor,Histamine H1 ,Inhibitor,HRH1,Unknown,NA,HRH,⮽,"In peripheral tissues, the H1 subclass of histamine
receptors mediates the contraction of smooth muscles,
increase in capillary permeability due to contraction of
terminal venules, and catecholamine release from adrenal
medulla, as well as mediating neurotransmission in the
central nervous system.",NA,NA,NA,Protein,55783.61 Da,NA
Escitalopram,5-hydroxytryptamine receptor 1A,5-hydroxytryptamine  1A,Inhibitor,HTR1A,Unknown,NA,HTR,⮽,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances. Ligand binding causes
a conformation change that triggers signaling via guanine
nucleotide-binding proteins (G proteins) and modulates
the activity of down-stream effectors, such as adenylate
cyclase. Beta-arrestin family members inhibit signaling via
G proteins and mediate activation of alternative signaling
pathways. Signaling inhibits adenylate cyclase activity and
activates a phosphatidylinositol-calcium second messenger
system that regulates the release of Ca(2+) ions from
intracellular stores. Plays a role in the regulation of 5-
hydroxytryptamine release and in the regulation of dopamine
and 5-hydroxytryptamine metabolism. Plays a role in the
regulation of dopamine and 5-hydroxytryptamine levels
in the brain, and thereby affects neural activity, mood
and behavior. Plays a role in the response to anxiogenic
stimuli.",NA,NA,NA,Protein,46106.335 Da,NA
Escitalopram,5-hydroxytryptamine receptor 2A,5-hydroxytryptamine  2A,Inhibitor,HTR2A,Unknown,NA,HTR,⮽,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances, including mescaline,
psilocybin, 1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane
(DOI) and lysergic acid diethylamide (LSD). Ligand binding
causes a conformation change that triggers signaling
via guanine nucleotide-binding proteins (G proteins)
and modulates the activity of down-stream effectors.
Beta-arrestin family members inhibit signaling via G
proteins and mediate activation of alternative signaling
pathways. Signaling activates phospholipase C and a
phosphatidylinositol-calcium second messenger system
that modulates the activity of phosphatidylinositol 3-
kinase and promotes the release of Ca(2+) ions from
intracellular stores. Affects neural activity, perception,
cognition and mood. Plays a role in the regulation of
behavior, including responses to anxiogenic situations
and psychoactive substances. Plays a role in intestinal
smooth muscle contraction, and may play a role in arterial
vasoconstriction.(Microbial infection) Acts as a receptor
for human JC polyomavirus/JCPyV.",NA,NA,NA,Protein,52602.58 Da,NA
Escitalopram,5-hydroxytryptamine receptor 2C,5-hydroxytryptamine  2C,Inhibitor,HTR2C,Unknown,NA,HTR,⮽,"G-protein coupled receptor for 5-hydroxytryptamine
(serotonin). Also functions as a receptor for various
drugs and psychoactive substances, including ergot alkaloid
derivatives, 1-2,5,-dimethoxy-4-iodophenyl-2-aminopropane
(DOI) and lysergic acid diethylamide (LSD). Ligand binding
causes a conformation change that triggers signaling
via guanine nucleotide-binding proteins (G proteins) and
modulates the activity of down-stream effectors. Beta-
arrestin family members inhibit signaling via G proteins
and mediate activation of alternative signaling pathways.
Signaling activates a phosphatidylinositol-calcium
second messenger system that modulates the activity of
phosphatidylinositol 3-kinase and down-stream signaling
cascades and promotes the release of Ca(2+) ions from
intracellular stores. Regulates neuronal activity via the
activation of short transient receptor potential calcium
channels in the brain, and thereby modulates the activation
of pro-opiomelacortin neurons and the release of CRH that
then regulates the release of corticosterone. Plays a role
in the regulation of appetite and eating behavior, responses
to anxiogenic stimuli and stress. Plays a role in insulin
sensitivity and glucose homeostasis.",NA,NA,NA,Protein,51820.705 Da,NA
Escitalopram,Dopamine D2 receptor,Dopamine D2 ,Inhibitor,DRD2,Unknown,NA,DRD,⮽,"Dopamine receptor whose activity is mediated by G proteins
which inhibit adenylyl cyclase.",NA,NA,NA,Protein,50618.91 Da,NA
Escitalopram,Sodium-dependent noradrenaline transporter,Sodium-dependent noradrenaline transporter,Inhibitor,SLC6A2,Unknown,NA,SLC,⮽,"Amine transporter. Terminates the action of noradrenaline by
its high affinity sodium-dependent reuptake into presynaptic
terminals.",NA,NA,NA,Protein,69331.42 Da,NA
Escitalopram,Sodium-dependent dopamine transporter,Sodium-dependent dopamine transporter,Inhibitor,SLC6A3,No,NA,SLC,⮽,"Amine transporter. Terminates the action of dopamine by its
high affinity sodium-dependent reuptake into presynaptic
terminals.",NA,NA,NA,Protein,68494.255 Da,NA
Ethanol,Gamma-aminobutyric acid receptor subunit alpha-1,Gamma-aminobutyric acid  subunit alpha-1,Agonist,GABRA1,Yes,NA,GABRA,⯅,"Component of the heteropentameric receptor for GABA, the
major inhibitory neurotransmitter in the vertebrate brain.
Functions also as histamine receptor and mediates cellular
responses to histamine. Functions as receptor for diazepines
and various anesthetics, such as pentobarbital; these
are bound at a separate allosteric effector binding site.
Functions as ligand-gated chloride channel (By similarity).",NA,NA,NA,Protein,51801.395 Da,NA
Ethanol,"Glutamate receptor ionotropic, NMDA 3A","Glutamate  ionotropic, NMDA 3A",Antagonist,GRIN3A,Yes,NA,GRIN,⯆,"NMDA receptor subtype of glutamate-gated ion channels with
reduced single-channel conductance, low calcium permeability
and low voltage-dependent sensitivity to magnesium. Mediated
by glycine. May play a role in the development of dendritic
spines. May play a role in PPP2CB-NMDAR mediated signaling
mechanism (By similarity).",NA,NA,NA,Protein,125464.07 Da,NA
Ethanol,Glycine receptor subunit alpha-1,Glycine  subunit alpha-1,Agonist,GLRA1,Yes,NA,GLRA,⯅,"The glycine receptor is a neurotransmitter-gated ion
channel. Binding of glycine to its receptor increases the
chloride conductance and thus produces hyperpolarization
(inhibition of neuronal firing).",NA,NA,NA,Protein,52623.35 Da,NA
Ethanol,Glycine receptor subunit alpha-2,Glycine  subunit alpha-2,Agonist,GLRA2,Yes,NA,GLRA,⯅,"The glycine receptor is a neurotransmitter-gated ion
channel. Binding of glycine to its receptor increases the
chloride conductance and thus produces hyperpolarization
(inhibition of neuronal firing).",NA,NA,NA,Protein,52001.585 Da,NA
Ethanol,Voltage-dependent L-type calcium channel subunit beta-1,Voltage-dependent L-type calcium channel subunit beta-1,NA,CACNB1,Unknown,NA,CACNB,ˌ,"The beta subunit of voltage-dependent calcium channels
contributes to the function of the calcium channel by
increasing peak calcium current, shifting the voltage
dependencies of activation and inactivation, modulating
G protein inhibition and controlling the alpha-1 subunit
membrane targeting.",NA,NA,NA,Protein,65712.995 Da,NA
Ethanol,5-hydroxytryptamine receptor 3A,5-hydroxytryptamine  3A,NA,HTR3A,Unknown,NA,HTR,ˌ,"This is one of the several different receptors for 5-
hydroxytryptamine (serotonin), a biogenic hormone that
functions as a neurotransmitter, a hormone, and a mitogen.
This receptor is a ligand-gated ion channel, which when
activated causes fast, depolarizing responses in neurons. It
is a cation-specific, but otherwise relatively nonselective,
ion channel.",NA,NA,NA,Protein,55279.835 Da,NA
Ethanol,Gamma-aminobutyric acid receptor subunit alpha-2,Gamma-aminobutyric acid  subunit alpha-2,NA,GABRA2,Unknown,NA,GABRA,ˌ,"GABA, the major inhibitory neurotransmitter in the
vertebrate brain, mediates neuronal inhibition by binding
to the GABA/benzodiazepine receptor and opening an integral
chloride channel.",NA,NA,NA,Protein,51325.85 Da,NA
Ethanol,Neuronal acetylcholine receptor subunit alpha-10,Neuronal acetylcholine  subunit alpha-10,NA,CHRNA10,Unknown,NA,CHRNA,ˌ,"Ionotropic receptor with a probable role in the modulation
of auditory stimuli. Agonist binding may induce an extensive
change in conformation that affects all subunits and leads
to opening of an ion-conducting channel across the plasma
membrane. The channel is permeable to a range of divalent
cations including calcium, the influx of which may activate
a potassium current which hyperpolarizes the cell membrane.
In the ear, this may lead to a reduction in basilar membrane
motion, altering the activity of auditory nerve fibers and
reducing the range of dynamic hearing. This may protect
against acoustic trauma.",NA,NA,NA,Protein,49704.295 Da,NA
Ethanol,Voltage-dependent L-type calcium channel subunit alpha-1C,Voltage-dependent L-type calcium channel subunit alpha-1C,NA,CACNA1C,Unknown,NA,CACNA,ˌ,"Voltage-sensitive calcium channels (VSCC) mediate the
entry of calcium ions into excitable cells and are also
involved in a variety of calcium-dependent processes,
including muscle contraction, hormone or neurotransmitter
release, gene expression, cell motility, cell division
and cell death. The isoform alpha-1C gives rise to L-type
calcium currents. Long-lasting (L-type) calcium channels
belong to the 'high-voltage activated' (HVA) group. They
are blocked by dihydropyridines (DHP), phenylalkylamines,
benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-
IIIA). They are however insensitive to omega-conotoxin-
GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-
IVA). Calcium channels containing the alpha-1C subunit play
an important role in excitation-contraction coupling in the
heart. The various isoforms display marked differences in
the sensitivity to DHP compounds. Binding of calmodulin or
CABP1 at the same regulatory sites results in an opposit
effects on the channel function.",NA,NA,NA,Protein,248974.1 Da,NA
Ethanol,Gamma-aminobutyric acid receptor subunit alpha-5,Gamma-aminobutyric acid  subunit alpha-5,NA,GABRA5,Unknown,NA,GABRA,ˌ,"GABA, the major inhibitory neurotransmitter in the
vertebrate brain, mediates neuronal inhibition by binding
to the GABA/benzodiazepine receptor and opening an integral
chloride channel.",NA,NA,NA,Protein,52145.645 Da,NA
Ethanol,Gamma-aminobutyric acid receptor subunit alpha-4,Gamma-aminobutyric acid  subunit alpha-4,NA,GABRA4,Unknown,NA,GABRA,ˌ,"GABA, the major inhibitory neurotransmitter in the
vertebrate brain, mediates neuronal inhibition by binding
to the GABA/benzodiazepine receptor and opening an integral
chloride channel.",NA,NA,NA,Protein,61622.645 Da,NA
Ethanol,Gamma-aminobutyric acid receptor subunit alpha-3,Gamma-aminobutyric acid  subunit alpha-3,NA,GABRA3,Unknown,NA,GABRA,ˌ,"GABA, the major inhibitory neurotransmitter in the
vertebrate brain, mediates neuronal inhibition by binding
to the GABA/benzodiazepine receptor and opening an integral
chloride channel.",NA,NA,NA,Protein,55164.055 Da,NA
Ethanol,Glutamate receptor 1,Glutamate  1,NA,GRIA1,Unknown,NA,GRIA,ˌ,"Ionotropic glutamate receptor. L-glutamate acts as an
excitatory neurotransmitter at many synapses in the central
nervous system. Binding of the excitatory neurotransmitter
L-glutamate induces a conformation change, leading to the
opening of the cation channel, and thereby converts the
chemical signal to an electrical impulse. The receptor
then desensitizes rapidly and enters a transient inactive
state, characterized by the presence of bound agonist.
In the presence of CACNG4 or CACNG7 or CACNG8, shows
resensitization which is characterized by a delayed
accumulation of current flux upon continued application of
glutamate.",NA,NA,NA,Protein,101505.245 Da,NA
Ethanol,Voltage-dependent calcium channel gamma-1 subunit,Voltage-dependent calcium channel gamma-1 subunit,NA,CACNG1,Unknown,NA,CACNG,ˌ,"This protein is a subunit of the dihydropyridine (DHP)
sensitive calcium channel. Plays a role in excitation-
contraction coupling. The skeletal muscle DHP-sensitive
Ca(2+) channel may function only as a multiple subunit
complex.",NA,NA,NA,Protein,25028.105 Da,NA
Ethanol,Neuronal acetylcholine receptor subunit alpha-2,Neuronal acetylcholine  subunit alpha-2,NA,CHRNA2,Unknown,NA,CHRNA,ˌ,"After binding acetylcholine, the AChR responds by an
extensive change in conformation that affects all subunits
and leads to opening of an ion-conducting channel across the
plasma membrane.",NA,NA,NA,Protein,59764.82 Da,NA
Ethanol,Gamma-aminobutyric acid receptor subunit alpha-6,Gamma-aminobutyric acid  subunit alpha-6,NA,GABRA6,Unknown,NA,GABRA,ˌ,"GABA, the major inhibitory neurotransmitter in the
vertebrate brain, mediates neuronal inhibition by binding
to the GABA/benzodiazepine receptor and opening an integral
chloride channel.",NA,NA,NA,Protein,51023.69 Da,NA
Ethanol,Glutamate receptor 2,Glutamate  2,NA,GRIA2,Unknown,NA,GRIA,ˌ,"Receptor for glutamate that functions as ligand-gated ion
channel in the central nervous system and plays an important
role in excitatory synaptic transmission. L-glutamate
acts as an excitatory neurotransmitter at many synapses
in the central nervous system. Binding of the excitatory
neurotransmitter L-glutamate induces a conformation change,
leading to the opening of the cation channel, and thereby
converts the chemical signal to an electrical impulse. The
receptor then desensitizes rapidly and enters a transient
inactive state, characterized by the presence of bound
agonist. In the presence of CACNG4 or CACNG7 or CACNG8,
shows resensitization which is characterized by a delayed
accumulation of current flux upon continued application of
glutamate.",NA,NA,NA,Protein,98820.32 Da,NA
Ethanol,Glutamate receptor 4,Glutamate  4,NA,GRIA4,Unknown,NA,GRIA,ˌ,"Receptor for glutamate that functions as ligand-gated ion
channel in the central nervous system and plays an important
role in excitatory synaptic transmission. L-glutamate
acts as an excitatory neurotransmitter at many synapses
in the central nervous system. Binding of the excitatory
neurotransmitter L-glutamate induces a conformation change,
leading to the opening of the cation channel, and thereby
converts the chemical signal to an electrical impulse. The
receptor then desensitizes rapidly and enters a transient
inactive state, characterized by the presence of bound
agonist. In the presence of CACNG4 or CACNG7 or CACNG8,
shows resensitization which is characterized by a delayed
accumulation of current flux upon continued application of
glutamate.",NA,NA,NA,Protein,100870.085 Da,NA
Ethanol,Glutamate receptor 3,Glutamate  3,NA,GRIA3,Unknown,NA,GRIA,ˌ,"Receptor for glutamate that functions as ligand-gated ion
channel in the central nervous system and plays an important
role in excitatory synaptic transmission. L-glutamate
acts as an excitatory neurotransmitter at many synapses
in the central nervous system. Binding of the excitatory
neurotransmitter L-glutamate induces a conformation change,
leading to the opening of the cation channel, and thereby
converts the chemical signal to an electrical impulse. The
receptor then desensitizes rapidly and enters a transient
inactive state, characterized by the presence of bound
agonist. In the presence of CACNG4 or CACNG7 or CACNG8,
shows resensitization which is characterized by a delayed
accumulation of current flux upon continued application of
glutamate.",NA,NA,NA,Protein,101155.975 Da,NA
Ethanol,Neuronal acetylcholine receptor subunit alpha-4,Neuronal acetylcholine  subunit alpha-4,NA,CHRNA4,Unknown,NA,CHRNA,ˌ,"After binding acetylcholine, the AChR responds by an
extensive change in conformation that affects all subunits
and leads to opening of an ion-conducting channel across the
plasma membrane permeable to sodium ions.",NA,NA,NA,Protein,69956.47 Da,NA
Ethanol,Neuronal acetylcholine receptor subunit beta-2,Neuronal acetylcholine  subunit beta-2,NA,CHRNB2,Unknown,NA,CHRNB,ˌ,"After binding acetylcholine, the AChR responds by an
extensive change in conformation that affects all subunits
and leads to opening of an ion-conducting channel across the
plasma membrane permeable to sodiun ions.",NA,NA,NA,Protein,57018.575 Da,NA
Ethanol,G protein-activated inward rectifier potassium channel 1,G protein-activated inward rectifier potassium channel 1,NA,KCNJ3,Unknown,NA,KCNJ,ˌ,"This potassium channel is controlled by G proteins. Inward
rectifier potassium channels are characterized by a greater
tendency to allow potassium to flow into the cell rather
than out of it. Their voltage dependence is regulated by
the concentration of extracellular potassium; as external
potassium is raised, the voltage range of the channel
opening shifts to more positive voltages. The inward
rectification is mainly due to the blockage of outward
current by internal magnesium. This receptor plays a crucial
role in regulating the heartbeat.",NA,NA,NA,Protein,56602.84 Da,NA
Ethanol,G protein-activated inward rectifier potassium channel 2,G protein-activated inward rectifier potassium channel 2,NA,KCNJ6,Unknown,NA,KCNJ,ˌ,"This potassium channel may be involved in the regulation
of insulin secretion by glucose and/or neurotransmitters
acting through G-protein-coupled receptors. Inward
rectifier potassium channels are characterized by a greater
tendency to allow potassium to flow into the cell rather
than out of it. Their voltage dependence is regulated by
the concentration of extracellular potassium; as external
potassium is raised, the voltage range of the channel
opening shifts to more positive voltages. The inward
rectification is mainly due to the blockage of outward
current by internal magnesium.",NA,NA,NA,Protein,48450.96 Da,NA
Ethanol,Vascular cell adhesion protein 1,Vascular cell adhesion protein 1,NA,VCAM1,Unknown,NA,VCAM,ˌ,"Important in cell-cell recognition. Appears to function in
leukocyte-endothelial cell adhesion. Interacts with integrin
alpha-4/beta-1 (ITGA4/ITGB1) on leukocytes, and mediates
both adhesion and signal transduction. The VCAM1/ITGA4/
ITGB1 interaction may play a pathophysiologic role both in
immune responses and in leukocyte emigration to sites of
inflammation.",NA,NA,NA,Protein,81275.43 Da,NA
Ethanol,Equilibrative nucleoside transporter 1,Equilibrative nucleoside transporter 1,NA,SLC29A1,Unknown,NA,SLC,ˌ,"Mediates both influx and efflux of nucleosides across
the membrane (equilibrative transporter). It is
sensitive (ES) to low concentrations of the inhibitor
nitrobenzylmercaptopurine riboside (NBMPR) and is sodium-
independent. It has a higher affinity for adenosine.
Inhibited by dipyridamole and dilazep (anticancer
chemotherapeutics drugs).",NA,NA,NA,Protein,50218.805 Da,NA
Ethanol,G protein-activated inward rectifier potassium channel 4,G protein-activated inward rectifier potassium channel 4,NA,KCNJ5,Unknown,NA,KCNJ,ˌ,"This potassium channel is controlled by G proteins. Inward
rectifier potassium channels are characterized by a greater
tendency to allow potassium to flow into the cell rather
than out of it. Their voltage dependence is regulated by
the concentration of extracellular potassium; as external
potassium is raised, the voltage range of the channel
opening shifts to more positive voltages. The inward
rectification is mainly due to the blockage of outward
current by internal magnesium. Can be blocked by external
barium.",NA,NA,NA,Protein,47667.3 Da,NA
Ethanol,Neuronal acetylcholine receptor subunit alpha-7,Neuronal acetylcholine  subunit alpha-7,NA,CHRNA7,Unknown,NA,CHRNA,ˌ,"After binding acetylcholine, the AChR responds by an
extensive change in conformation that affects all subunits
and leads to opening of an ion-conducting channel across
the plasma membrane. The channel is blocked by alpha-
bungarotoxin.",NA,NA,NA,Protein,56448.925 Da,NA
Ethanol,Neuronal acetylcholine receptor subunit alpha-9,Neuronal acetylcholine  subunit alpha-9,NA,CHRNA9,Unknown,NA,CHRNA,ˌ,"Ionotropic receptor with a probable role in the modulation
of auditory stimuli. Agonist binding induces a conformation
change that leads to the opening of an ion-conducting
channel across the plasma membrane (PubMed:11752216,
PubMed:25282151). The channel is permeable to a range of
divalent cations including calcium, the influx of which may
activate a potassium current which hyperpolarizes the cell
membrane (PubMed:11752216, PubMed:25282151). In the ear,
this may lead to a reduction in basilar membrane motion,
altering the activity of auditory nerve fibers and reducing
the range of dynamic hearing. This may protect against
acoustic trauma. May also regulate keratinocyte adhesion
(PubMed:11021840).",NA,NA,NA,Protein,54806.63 Da,NA
Ethanol,Gamma-aminobutyric acid receptor subunit beta-1,Gamma-aminobutyric acid  subunit beta-1,NA,GABRB1,Unknown,NA,GABRB,ˌ,"Component of the heteropentameric receptor for GABA, the
major inhibitory neurotransmitter in the vertebrate brain.
Functions also as histamine receptor and mediates cellular
responses to histamine. Functions as receptor for diazepines
and various anesthetics, such as pentobarbital; these
are bound at a separate allosteric effector binding site.
Functions as ligand-gated chloride channel (By similarity).",NA,NA,NA,Protein,54234.085 Da,NA
Ethanol,Gamma-aminobutyric acid receptor subunit beta-3,Gamma-aminobutyric acid  subunit beta-3,NA,GABRB3,Unknown,NA,GABRB,ˌ,"Component of the heteropentameric receptor for GABA, the
major inhibitory neurotransmitter in the vertebrate brain.
Functions also as histamine receptor and mediates cellular
responses to histamine. Functions as receptor for diazepines
and various anesthetics, such as pentobarbital; these
are bound at a separate allosteric effector binding site.
Functions as ligand-gated chloride channel.",NA,NA,NA,Protein,54115.04 Da,NA
Ethanol,Gamma-aminobutyric acid receptor subunit beta-2,Gamma-aminobutyric acid  subunit beta-2,NA,GABRB2,Unknown,NA,GABRB,ˌ,"Component of the heteropentameric receptor for GABA, the
major inhibitory neurotransmitter in the vertebrate brain.
Functions also as histamine receptor and mediates cellular
responses to histamine. Functions as receptor for diazepines
and various anesthetics, such as pentobarbital; these
are bound at a separate allosteric effector binding site.
Functions as ligand-gated chloride channel.",NA,NA,NA,Protein,59149.895 Da,NA
Ethanol,Voltage-dependent L-type calcium channel subunit alpha-1S,Voltage-dependent L-type calcium channel subunit alpha-1S,NA,CACNA1S,Unknown,NA,CACNA,ˌ,"Voltage-sensitive calcium channels (VSCC) mediate the
entry of calcium ions into excitable cells and are also
involved in a variety of calcium-dependent processes,
including muscle contraction, hormone or neurotransmitter
release, gene expression, cell motility, cell division
and cell death. The isoform alpha-1S gives rise to L-type
calcium currents. Long-lasting (L-type) calcium channels
belong to the 'high-voltage activated' (HVA) group. They
are blocked by dihydropyridines (DHP), phenylalkylamines,
benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-
IIIA). They are however insensitive to omega-conotoxin-
GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-
IVA). Calcium channels containing the alpha-1S subunit play
an important role in excitation-contraction coupling in
skeletal muscle.",NA,NA,NA,Protein,212348.1 Da,NA
Ethanol,Voltage-dependent L-type calcium channel subunit alpha-1D,Voltage-dependent L-type calcium channel subunit alpha-1D,NA,CACNA1D,Unknown,NA,CACNA,ˌ,"Voltage-sensitive calcium channels (VSCC) mediate the
entry of calcium ions into excitable cells and are also
involved in a variety of calcium-dependent processes,
including muscle contraction, hormone or neurotransmitter
release, gene expression, cell motility, cell division
and cell death. The isoform alpha-1D gives rise to L-type
calcium currents. Long-lasting (L-type) calcium channels
belong to the 'high-voltage activated' (HVA) group. They
are blocked by dihydropyridines (DHP), phenylalkylamines,
benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-
IIIA). They are however insensitive to omega-conotoxin-GVIA
(omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-IVA).",NA,NA,NA,Protein,245138.75 Da,NA
Ethanol,Neuronal acetylcholine receptor subunit beta-4,Neuronal acetylcholine  subunit beta-4,NA,CHRNB4,Unknown,NA,CHRNB,ˌ,"After binding acetylcholine, the AChR responds by an
extensive change in conformation that affects all subunits
and leads to opening of an ion-conducting channel across the
plasma membrane.",NA,NA,NA,Protein,56378.985 Da,NA
Ethanol,Neuronal acetylcholine receptor subunit alpha-3,Neuronal acetylcholine  subunit alpha-3,NA,CHRNA3,Unknown,NA,CHRNA,ˌ,"After binding acetylcholine, the AChR responds by an
extensive change in conformation that affects all subunits
and leads to opening of an ion-conducting channel across the
plasma membrane.",NA,NA,NA,Protein,57479.54 Da,NA
Ethanol,Neuronal acetylcholine receptor subunit alpha-5,Neuronal acetylcholine  subunit alpha-5,NA,CHRNA5,Unknown,NA,CHRNA,ˌ,"After binding acetylcholine, the AChR responds by an
extensive change in conformation that affects all subunits
and leads to opening of an ion-conducting channel across the
plasma membrane.",NA,NA,NA,Protein,53053.965 Da,NA
