Name,Actions,Gene Name,General Function,Kind,Molecular Weight,Organism,Pharmacological action,Specific Function,Uniprot ID,Uniprot Name,Drug,drugbank_id,Curator comments
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Clonazepam,DB01068,NA
Cytochrome P450 2E1,Inhibitor,CYP2E1,Steroid hydroxylase activity,Protein,56848.42 Da,Humans,Unknown,"Metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Inactivates a number of drugs and xenobiotics and also bioactivates many xenobiotic substrates to their hepatotoxic ...",P05181,Cytochrome P450 2E1,Clonazepam,DB01068,NA
Arylamine N-acetyltransferase 2,Substrate,NAT2,Arylamine n-acetyltransferase activity,Protein,33542.235 Da,Humans,Unknown,Participates in the detoxification of a plethora of hydrazine and arylamine drugs. Catalyzes the N- or O-acetylation of various arylamine and heterocyclic amine substrates and is able to bioactivat...,P11245,Arylamine N-acetyltransferase 2,Clonazepam,DB01068,NA
Cytochrome P450 1A2,SubstrateInhibitor,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Clozapine,DB00363,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Clozapine,DB00363,NA
Cytochrome P450 2C9,Substrate,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Clozapine,DB00363,Enzyme action is based on in vitro study findings.
Cytochrome P450 3A4,SubstrateInhibitorInducer,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Clozapine,DB00363,NA
Cytochrome P450 2C19,SubstrateInhibitor,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Clozapine,DB00363,NA
Cytochrome P450 2A6,Substrate,CYP2A6,Steroid hydroxylase activity,Protein,56501.005 Da,Humans,Unknown,Exhibits a high coumarin 7-hydroxylase activity. Can act in the hydroxylation of the anti-cancer drugs cyclophosphamide and ifosphamide. Competent in the metabolic activation of aflatoxin B1. Const...,P11509,Cytochrome P450 2A6,Clozapine,DB00363,The information supporting this enzyme action in the literature is limited to one study.
Cytochrome P450 2C8,Substrate,CYP2C8,Steroid hydroxylase activity,Protein,55824.275 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P10632,Cytochrome P450 2C8,Clozapine,DB00363,NA
Dimethylaniline monooxygenase [N-oxide-forming] 3,Substrate,FMO3,Trimethylamine monooxygenase activity,Protein,60032.975 Da,Humans,Unknown,Involved in the oxidative metabolism of a variety of xenobiotics such as drugs and pesticides. It N-oxygenates primary aliphatic alkylamines as well as secondary and tertiary amines. Plays an impor...,P31513,Dimethylaniline monooxygenase [N-oxide-forming] 3,Clozapine,DB00363,NA
UDP-glucuronosyltransferase 1-4,Substrate,UGT1A4,Protein homodimerization activity,Protein,60024.535 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22310,UDP-glucuronosyltransferase 1-4,Clozapine,DB00363,NA
Cytochrome P450 1A1,Inducer,CYP1A1,Vitamin d 24-hydroxylase activity,Protein,58164.815 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P04798,Cytochrome P450 1A1,Clozapine,DB00363,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Desipramine,DB01151,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Desipramine,DB01151,NA
Cytochrome P450 3A4,SubstrateInhibitor,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Desipramine,DB01151,NA
Cytochrome P450 2B6,Inhibitor,CYP2B6,Steroid hydroxylase activity,Protein,56277.81 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20813,Cytochrome P450 2B6,Desipramine,DB01151,NA
Cytochrome P450 2E1,Inhibitor,CYP2E1,Steroid hydroxylase activity,Protein,56848.42 Da,Humans,Unknown,"Metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Inactivates a number of drugs and xenobiotics and also bioactivates many xenobiotic substrates to their hepatotoxic ...",P05181,Cytochrome P450 2E1,Desipramine,DB01151,NA
Cytochrome P450 3A4,SubstrateInhibitor,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Desvenlafaxine,DB06700,NA
Cytochrome P450 2D6,Inhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Desvenlafaxine,DB06700,NA
Cytochrome P450 2D6,Substrate,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,No,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Dextroamphetamine,DB01576,NA
Primary amine oxidase,Substrate,tynA,Tryptamine:oxygen oxidoreductase (deaminating) activity,Protein,84378.17 Da,Escherichia coli (strain K12),No,The enzyme prefers aromatic over aliphatic amines.,P46883,Primary amine oxidase,Dextroamphetamine,DB01576,NA
Cytochrome P450 2B6,Substrate,CYP2B6,Steroid hydroxylase activity,Protein,56277.81 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20813,Cytochrome P450 2B6,Clotiazepam,DB01559,NA
Cytochrome P450 2C18,Substrate,CYP2C18,Steroid hydroxylase activity,Protein,55710.075 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P33260,Cytochrome P450 2C18,Clotiazepam,DB01559,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Clotiazepam,DB01559,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Clotiazepam,DB01559,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Duloxetine,DB00476,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Duloxetine,DB00476,NA
Cytochrome P450 2C9,Substrate,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Duloxetine,DB00476,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Escitalopram,DB01175,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Escitalopram,DB01175,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Escitalopram,DB01175,NA
Monoamine oxidase (Protein Group),Substrate,NA,Serotonin binding,Protein group,NA,Humans,Unknown,Catalyzes the oxidative deamination of biogenic and xenobiotic amines and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral...,NA,NA,Escitalopram,DB01175,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Estazolam,DB01215,NA
Cytochrome P450 1A1,Inhibitor,CYP1A1,Vitamin d 24-hydroxylase activity,Protein,58164.815 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P04798,Cytochrome P450 1A1,Ethanol,DB00898,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Ethanol,DB00898,Data supporting this enzyme action are limited to in vitro studies.
Cytochrome P450 2B6,Inhibitor,CYP2B6,Steroid hydroxylase activity,Protein,56277.81 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20813,Cytochrome P450 2B6,Ethanol,DB00898,NA
Cytochrome P450 2C9,Inhibitor,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Ethanol,DB00898,Data based on findings of in vitro studies.
Cytochrome P450 2C19,Inhibitor,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Ethanol,DB00898,NA
Cytochrome P450 2E1,SubstrateInducer,CYP2E1,Steroid hydroxylase activity,Protein,56848.42 Da,Humans,Unknown,"Metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Inactivates a number of drugs and xenobiotics and also bioactivates many xenobiotic substrates to their hepatotoxic ...",P05181,Cytochrome P450 2E1,Ethanol,DB00898,NA
Cytochrome P450 3A4,SubstrateInhibitorInducer,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Ethanol,DB00898,Appears to produce induction in the long-term but may produce inhibition in an acute context.
Cytochrome P450 4A11,Inducer,CYP4A11,Leukotriene-b4 20-monooxygenase activity,Protein,59347.31 Da,Humans,Unknown,"Catalyzes the omega- and (omega-1)-hydroxylation of various fatty acids such as laurate, myristate and palmitate. Has little activity toward prostaglandins A1 and E1. Oxidizes arachidonic acid to 2...",Q02928,Cytochrome P450 4A11,Ethanol,DB00898,NA
Alcohol dehydrogenase 1A,Substrate,ADH1A,Zinc ion binding,Protein,39858.37 Da,Humans,Unknown,Not Available,P07327,Alcohol dehydrogenase 1A,Ethanol,DB00898,NA
Alcohol dehydrogenase 1B,Substrate,ADH1B,Zinc ion binding,Protein,39854.21 Da,Humans,Unknown,Not Available,P00325,Alcohol dehydrogenase 1B,Ethanol,DB00898,NA
Alcohol dehydrogenase 1C,Substrate,ADH1C,Zinc ion binding,Protein,39867.27 Da,Humans,Unknown,Not Available,P00326,Alcohol dehydrogenase 1C,Ethanol,DB00898,NA
Alcohol dehydrogenase class-3,Substrate,ADH5,Zinc ion binding,Protein,39723.945 Da,Humans,Unknown,"Class-III ADH is remarkably ineffective in oxidizing ethanol, but it readily catalyzes the oxidation of long-chain primary alcohols and the oxidation of S-(hydroxymethyl) glutathione.",P11766,Alcohol dehydrogenase class-3,Ethanol,DB00898,NA
Alcohol dehydrogenase 4,Substrate,ADH4,Zinc ion binding,Protein,40221.335 Da,Humans,Unknown,Not Available,P08319,Alcohol dehydrogenase 4,Ethanol,DB00898,NA
Alcohol dehydrogenase class 4 mu/sigma chain,Substrate,ADH7,Zinc ion binding,Protein,41480.985 Da,Humans,Unknown,"Could function in retinol oxidation for the synthesis of retinoic acid, a hormone important for cellular differentiation. Medium-chain (octanol) and aromatic (m-nitrobenzaldehyde) compounds are the...",P40394,Alcohol dehydrogenase class 4 mu/sigma chain,Ethanol,DB00898,NA
Alcohol dehydrogenase 6,Substrate,ADH6,Zinc ion binding,Protein,39088.335 Da,Humans,Unknown,Not Available,P28332,Alcohol dehydrogenase 6,Ethanol,DB00898,NA
Alcohol dehydrogenase [NADP(+)],Substrate,AKR1A1,L-glucuronate reductase activity,Protein,36572.71 Da,Humans,Unknown,Catalyzes the NADPH-dependent reduction of a variety of aromatic and aliphatic aldehydes to their corresponding alcohols. Catalyzes the reduction of mevaldate to mevalonic acid and of glyceraldehyd...,P14550,Alcohol dehydrogenase [NADP(+)],Ethanol,DB00898,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fludiazepam,DB01567,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Flunitrazepam,DB01544,NA
UDP-glucuronosyltransferase 2B7,Inhibitor,UGT2B7,Glucuronosyltransferase activity,Protein,60694.12 Da,Humans,Unknown,"UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds.Its unique specificity for 3,4-catechol estrogens and estriol su...",P16662,UDP-glucuronosyltransferase 2B7,Flunitrazepam,DB01544,NA
Cytochrome P450 2A6,Substrate,CYP2A6,Steroid hydroxylase activity,Protein,56501.005 Da,Humans,Unknown,Exhibits a high coumarin 7-hydroxylase activity. Can act in the hydroxylation of the anti-cancer drugs cyclophosphamide and ifosphamide. Competent in the metabolic activation of aflatoxin B1. Const...,P11509,Cytochrome P450 2A6,Flunitrazepam,DB01544,NA
Cytochrome P450 2B6,Substrate,CYP2B6,Steroid hydroxylase activity,Protein,56277.81 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20813,Cytochrome P450 2B6,Flunitrazepam,DB01544,NA
Cytochrome P450 2C9,Substrate,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Flunitrazepam,DB01544,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Flunitrazepam,DB01544,NA
Cytochrome P450 2E1,Inhibitor,CYP2E1,Steroid hydroxylase activity,Protein,56848.42 Da,Humans,Unknown,"Metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Inactivates a number of drugs and xenobiotics and also bioactivates many xenobiotic substrates to their hepatotoxic ...",P05181,Cytochrome P450 2E1,Flunitrazepam,DB01544,NA
UDP-glucuronosyltransferase 1-1,Inhibitor,UGT1A1,Steroid binding,Protein,59590.91 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22309,UDP-glucuronosyltransferase 1-1,Flunitrazepam,DB01544,NA
UDP-glucuronosyltransferase 1-3,Inhibitor,UGT1A3,Retinoic acid binding,Protein,60337.835 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. Isoform 2 lacks transferase activity but acts as a negative reg...,P35503,UDP-glucuronosyltransferase 1-3,Flunitrazepam,DB01544,NA
Cytochrome P450 2C19,SubstrateInhibitor,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Fluoxetine,DB00472,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Yes,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Fluoxetine,DB00472,NA
Cytochrome P450 2C9,SubstrateInhibitor,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Fluoxetine,DB00472,NA
CYP2B protein,Inhibitor,CYP2B,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,43147.81 Da,Humans,Unknown,Not Available,Q14097,CYP2B protein,Fluoxetine,DB00472,NA
Cytochrome P450 1A2,SubstrateInhibitor,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Fluoxetine,DB00472,NA
Cytochrome P450 3A4,SubstrateInhibitor,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Yes,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Fluoxetine,DB00472,NA
Cytochrome P450 2B6,Substrate,CYP2B6,Steroid hydroxylase activity,Protein,56277.81 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20813,Cytochrome P450 2B6,Fluoxetine,DB00472,NA
Cytochrome P450 3A5,Substrate,CYP3A5,Oxygen binding,Protein,57108.065 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20815,Cytochrome P450 3A5,Fluoxetine,DB00472,NA
Aromatic-L-amino-acid decarboxylase,Inducer,DDC,Pyridoxal phosphate binding,Protein,53925.815 Da,Humans,Unknown,"Catalyzes the decarboxylation of L-3,4-dihydroxyphenylalanine (DOPA) to dopamine, L-5-hydroxytryptophan to serotonin and L-tryptophan to tryptamine.",P20711,Aromatic-L-amino-acid decarboxylase,Flupentixol,DB00875,NA
Cytochrome P450 2D6,Inhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Fluphenazine,DB00623,NA
Cytochrome P450 2E1,Inhibitor,CYP2E1,Steroid hydroxylase activity,Protein,56848.42 Da,Humans,Unknown,"Metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Inactivates a number of drugs and xenobiotics and also bioactivates many xenobiotic substrates to their hepatotoxic ...",P05181,Cytochrome P450 2E1,Fluphenazine,DB00623,NA
"Branched-chain-amino-acid aminotransferase, cytosolic",Inhibitor,BCAT1,L-valine transaminase activity,Protein,42965.815 Da,Humans,Unknown,"Catalyzes the first reaction in the catabolism of the essential branched chain amino acids leucine, isoleucine, and valine.",P54687,"Branched-chain-amino-acid aminotransferase, cytosolic",Gabapentin,DB00996,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,No,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Gabapentin,DB00996,NA
Cytochrome P450 3A5,Substrate,CYP3A5,Oxygen binding,Protein,57108.065 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20815,Cytochrome P450 3A5,Haloperidol,DB00502,NA
Cytochrome P450 3A7,Substrate,CYP3A7,Oxygen binding,Protein,57525.03 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P24462,Cytochrome P450 3A7,Haloperidol,DB00502,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Haloperidol,DB00502,Data is limited to in vitro studies.
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Haloperidol,DB00502,NA
Cytochrome P450 3A4,SubstrateInhibitor,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Haloperidol,DB00502,NA
Carbonyl reductase [NADPH] 1,Substrate,CBR1,Prostaglandin-e2 9-reductase activity,Protein,30374.73 Da,Humans,Unknown,"NADPH-dependent reductase with broad substrate specificity. Catalyzes the reduction of a wide variety of carbonyl compounds including quinones, prostaglandins, menadione, plus various xenobiotics. ...",P16152,Carbonyl reductase [NADPH] 1,Haloperidol,DB00502,NA
UDP-glucuronosyltransferase 1-9,Substrate,UGT1A9,Retinoic acid binding,Protein,59940.495 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform has specificity for phenols. Isoform 2 lacks trans...,O60656,UDP-glucuronosyltransferase 1-9,Haloperidol,DB00502,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Haloperidol,DB00502,NA
